t,action,id,from,to
281,0,13-55-55,13-55,55
282,1,13-55-13,13-55,13
282,1,13-55-55,13-55,55
282,1,13-55-162,13-55,162
283,0,33-56-119,33-56,119
284,1,33-56-119,33-56,119
285,0,33-56-120,33-56,120
286,1,33-56-120,33-56,120
287,0,34-98-121,34-98,121
287,0,34-98-34,34-98,34
287,0,34-98-98,34-98,98
288,1,34-98-34,34-98,34
288,1,34-98-98,34-98,98
288,1,34-98-121,34-98,121
289,0,34-85-164,34-85,164
289,0,34-85-34,34-85,34
289,0,34-85-85,34-85,85
290,1,34-85-34,34-85,34
290,1,34-85-85,34-85,85
290,1,34-85-164,34-85,164
291,0,510-73-122,510-73,122
291,0,510-73-510,510-73,510
291,0,510-73-73,510-73,73
292,1,510-73-510,510-73,510
292,1,510-73-73,510-73,73
292,1,510-73-122,510-73,122
293,0,39-65-124,39-65,124
293,0,39-65-39,39-65,39
293,0,39-65-65,39-65,65
294,1,39-65-39,39-65,39
294,1,39-65-65,39-65,65
294,1,39-65-124,39-65,124
295,0,524-79-125,524-79,125
296,1,524-79-125,524-79,125
297,0,524-79-127,524-79,127
298,1,524-79-127,524-79,127
299,0,525-521-169,525-521,169
300,1,525-521-169,525-521,169
301,0,525-521-128,525-521,128
302,1,525-521-128,525-521,128
303,0,526-78-130,526-78,130
303,0,526-78-526,526-78,526
303,0,526-78-78,526-78,78
304,1,526-78-526,526-78,526
304,1,526-78-78,526-78,78
304,1,526-78-130,526-78,130
305,0,526-84-131,526-84,131
305,0,526-84-526,526-84,526
305,0,526-84-84,526-84,84
306,1,526-84-526,526-84,526
306,1,526-84-84,526-84,84
306,1,526-84-131,526-84,131
307,0,47-84-132,47-84,132
307,0,47-84-47,47-84,47
307,0,47-84-84,47-84,84
308,1,47-84-47,47-84,47
308,1,47-84-84,47-84,84
308,1,47-84-132,47-84,132
309,0,49-65-134,49-65,134
309,0,49-65-49,49-65,49
309,0,49-65-65,49-65,65
310,1,49-65-49,49-65,49
310,1,49-65-65,49-65,65
310,1,49-65-134,49-65,134
311,0,527-161-173,527-161,173
311,0,527-161-527,527-161,527
311,0,527-161-161,527-161,161
312,0,9-516-527,9-516,527
312,0,9-516-9,9-516,9
312,0,9-516-516,9-516,516
312,1,527-161-527,527-161,527
312,1,527-161-161,527-161,161
312,1,527-161-173,527-161,173
314,1,525-65-525,525-65,525
314,1,525-65-65,525-65,65
314,1,525-65-527,525-65,527
315,0,103-529-198,103-529,198
315,0,103-529-103,103-529,103
315,0,103-529-529,103-529,529
316,1,103-529-103,103-529,103
316,1,103-529-529,103-529,529
316,1,103-529-198,103-529,198
317,0,16-73-529,16-73,529
317,0,16-73-16,16-73,16
317,0,16-73-73,16-73,73
318,1,43-58-43,43-58,43
318,1,43-58-58,43-58,58
318,1,43-58-529,43-58,529
319,0,109-530-178,109-530,178
319,0,109-530-109,109-530,109
319,0,109-530-530,109-530,530
320,1,109-530-109,109-530,109
320,1,109-530-530,109-530,530
320,1,109-530-178,109-530,178
321,0,11-88-530,11-88,530
321,0,11-88-11,11-88,11
321,0,11-88-88,11-88,88
322,1,11-88-11,11-88,11
322,1,11-88-88,11-88,88
322,1,11-88-530,11-88,530
323,0,109-531-179,109-531,179
323,0,109-531-109,109-531,109
323,0,109-531-531,109-531,531
324,1,109-531-109,109-531,109
324,1,109-531-531,109-531,531
324,1,109-531-179,109-531,179
325,0,37-92-531,37-92,531
325,0,37-92-37,37-92,37
325,0,37-92-92,37-92,92
326,1,37-522-37,37-522,37
326,1,37-522-522,37-522,522
326,1,37-522-531,37-522,531
327,0,119-169-189,119-169,189
328,1,119-169-189,119-169,189
329,0,119-169-207,119-169,207
330,1,119-169-207,119-169,207
331,0,532-533-224,532-533,224
331,0,532-533-532,532-533,532
331,0,532-533-533,532-533,533
332,1,532-533-532,532-533,532
332,1,532-533-533,532-533,533
332,1,532-533-224,532-533,224
332,0,48-67-533,48-67,533
332,0,48-67-48,48-67,48
332,0,48-67-67,48-67,67
333,0,23-78-532,23-78,532
333,0,23-78-23,23-78,23
333,0,23-78-78,23-78,78
334,1,11-92-11,11-92,11
334,1,11-92-92,11-92,92
334,1,11-92-532,11-92,532
336,1,48-78-48,48-78,48
336,1,48-78-78,48-78,78
336,1,48-78-533,48-78,533
337,0,510-87-100,510-87,100
337,0,510-87-510,510-87,510
337,0,510-87-87,510-87,87
338,1,510-87-510,510-87,510
338,1,510-87-87,510-87,87
338,1,510-87-100,510-87,100
339,0,1-92-102,1-92,102
340,1,1-92-102,1-92,102
341,0,1-92-135,1-92,135
342,1,1-92-135,1-92,135
343,0,2-534-103,2-534,103
343,0,2-534-2,2-534,2
343,0,2-534-534,2-534,534
344,1,2-534-2,2-534,2
344,1,2-534-534,2-534,534
344,1,2-534-103,2-534,103
345,0,512-84-105,512-84,105
346,1,512-84-105,512-84,105
347,0,512-84-137,512-84,137
348,1,537-84-537,537-84,537
348,1,537-84-84,537-84,84
348,1,537-84-137,537-84,137
349,0,517-72-139,517-72,139
349,0,517-72-517,517-72,517
349,0,517-72-72,517-72,72
350,1,535-72-535,535-72,535
350,1,535-72-72,535-72,72
350,1,535-72-139,535-72,139
351,0,535-513-107,535-513,107
351,0,535-513-535,535-513,535
351,0,535-513-513,535-513,513
352,1,535-513-535,535-513,535
352,1,535-513-513,535-513,513
352,1,535-513-107,535-513,107
353,0,515-61-141,515-61,141
353,0,515-61-515,515-61,515
353,0,515-61-61,515-61,61
354,1,523-61-523,523-61,523
354,1,523-61-61,523-61,61
354,1,523-61-141,523-61,141
355,0,6-87-108,6-87,108
355,0,6-87-6,6-87,6
355,0,6-87-87,6-87,87
356,1,6-87-6,6-87,6
356,1,6-87-87,6-87,87
356,1,6-87-108,6-87,108
357,0,6-85-109,6-85,109
357,0,6-85-6,6-85,6
357,0,6-85-85,6-85,85
358,1,6-85-6,6-85,6
358,1,6-85-85,6-85,85
358,1,6-85-109,6-85,109
359,0,13-74-110,13-74,110
359,0,13-74-13,13-74,13
359,0,13-74-74,13-74,74
360,1,13-74-13,13-74,13
360,1,13-74-74,13-74,74
360,1,13-74-110,13-74,110
361,0,13-70-144,13-70,144
361,0,13-70-13,13-70,13
361,0,13-70-70,13-70,70
362,1,13-70-13,13-70,13
362,1,13-70-70,13-70,70
362,1,13-70-144,13-70,144
363,0,13-62-146,13-62,146
363,0,13-62-13,13-62,13
363,0,13-62-62,13-62,62
364,1,13-62-13,13-62,13
364,1,13-62-62,13-62,62
364,1,13-62-146,13-62,146
365,0,15-514-111,15-514,111
365,0,15-514-15,15-514,15
365,0,15-514-514,15-514,514
366,1,15-515-15,15-515,15
366,1,15-515-515,15-515,515
366,1,15-515-111,15-515,111
367,0,517-511-148,517-511,148
368,1,517-511-148,517-511,148
369,0,517-511-113,517-511,113
370,1,517-511-113,517-511,113
371,0,518-50-152,518-50,152
371,0,518-50-518,518-50,518
371,0,518-50-50,518-50,50
372,1,518-50-518,518-50,518
372,1,518-50-50,518-50,50
372,1,518-50-152,518-50,152
373,0,26-519-153,26-519,153
373,0,26-519-26,26-519,26
373,0,26-519-519,26-519,519
374,1,26-519-26,26-519,26
374,1,26-519-519,26-519,519
